gene_name	cell_type
A2M	Astrocyte
AASS	Astrocyte
ABHD3	Astrocyte
ACOT11	Astrocyte
ACSL6	Astrocyte
AGPAT5	Astrocyte
AGT	Astrocyte
KIAA1161	Astrocyte
AKT2	Astrocyte
ALDH1L1	Astrocyte
ALDH6A1	Astrocyte
AOX1	Astrocyte
AQP4	Astrocyte
AQP9	Astrocyte
BTBD17	Astrocyte
CBS	Astrocyte
LOC102724560	Astrocyte
CHRDL1	Astrocyte
CHST2	Astrocyte
CIDEB	Astrocyte
CLU	Astrocyte
CTH	Astrocyte
CYP4F12	Astrocyte
CYP4F8	Astrocyte
CYP7B1	Astrocyte
DDHD1	Astrocyte
DDO	Astrocyte
DHRS11	Astrocyte
DIO2	Astrocyte
EGFL6	Astrocyte
EGFR	Astrocyte
ELMOD3	Astrocyte
ELOVL2	Astrocyte
ENTPD2	Astrocyte
FADS2	Astrocyte
FAM181B	Astrocyte
FGD6	Astrocyte
FGFR3	Astrocyte
FGFRL1	Astrocyte
FKBP10	Astrocyte
FZD2	Astrocyte
FZD7	Astrocyte
GAS1	Astrocyte
GDF10	Astrocyte
GFAP	Astrocyte
GLDC	Astrocyte
GLIPR2	Astrocyte
GRAMD3	Astrocyte
GSTM3	Astrocyte
HOPX	Astrocyte
ID4	Astrocyte
ITGA7	Astrocyte
KCTD14	Astrocyte
KLF15	Astrocyte
LFNG	Astrocyte
LIX1	Astrocyte
MLC1	Astrocyte
NAAA	Astrocyte
NAT2	Astrocyte
NAT8	Astrocyte
NDP	Astrocyte
NRARP	Astrocyte
OAF	Astrocyte
PAPSS2	Astrocyte
PAX6	Astrocyte
PCSK6	Astrocyte
PDK4	Astrocyte
PHKG1	Astrocyte
PRDX6	Astrocyte
PXMP2	Astrocyte
RETSAT	Astrocyte
RFX2	Astrocyte
RPE65	Astrocyte
SCARA3	Astrocyte
SDSL	Astrocyte
SEMA4B	Astrocyte
SLC12A4	Astrocyte
SLC14A1	Astrocyte
SLC22A4	Astrocyte
SLC27A1	Astrocyte
SLC7A10	Astrocyte
SMIM3	Astrocyte
SOX21	Astrocyte
SOX9	Astrocyte
ST3GAL4	Astrocyte
TEKT1	Astrocyte
TMEM51	Astrocyte
TST	Astrocyte
TTPA	Astrocyte
TTYH1	Astrocyte
UCP3	Astrocyte
UGP2	Astrocyte
UPP1	Astrocyte
VIT	Astrocyte
VNN1	Astrocyte
WNT7B	Astrocyte
ZIC5	Astrocyte
C16orf74	Astrocyte
C19orf38	Astrocyte
ACAT2	Astrocyte
ACSL3	Astrocyte
ALPK1	Astrocyte
ARHGEF26	Astrocyte
ATP13A4	Astrocyte
BDH2	Astrocyte
BMPR1B	Astrocyte
CHP2	Astrocyte
DMP1	Astrocyte
DOK7	Astrocyte
EMX2	Astrocyte
EPO	Astrocyte
EPX	Astrocyte
ETNPPL	Astrocyte
EXD1	Astrocyte
F2RL3	Astrocyte
FAM181A	Astrocyte
FAM198A	Astrocyte
FAM20A	Astrocyte
FAM69C	Astrocyte
FLT3LG	Astrocyte
GLI3	Astrocyte
LOC100652824	Astrocyte
HIST1H2BH	Astrocyte
HIST1H2BH	Astrocyte
HIST1H3C	Astrocyte
KIRREL2	Astrocyte
LGR4	Astrocyte
LONRF3	Astrocyte
LPIN3	Astrocyte
METTL11B	Astrocyte
NPHP3	Astrocyte
NR2E1	Astrocyte
NWD1	Astrocyte
OR10AD1	Astrocyte
OR10AD1	Astrocyte
OR7A5	Astrocyte
OTX1	Astrocyte
PAQR8	Astrocyte
PLCD4	Astrocyte
PLXNB1	Astrocyte
PPIL6	Astrocyte
PRR5	Astrocyte
PSD2	Astrocyte
SCTR	Astrocyte
SFXN5	Astrocyte
SHPK	Astrocyte
SLC25A18	Astrocyte
SLC39A12	Astrocyte
SLC6A11	Astrocyte
SLCO1B3	Astrocyte
CCDC169-SOHLH2	Astrocyte
STAG3	Astrocyte
SUGCT	Astrocyte
SYCP2	Astrocyte
SYDE2	Astrocyte
TAF4B	Astrocyte
TEX11	Astrocyte
TMEM52	Astrocyte
TP63	Astrocyte
UGT1A3	Astrocyte
UGT1A6	Astrocyte
ZNRF3	Astrocyte
C2orf72	Astrocyte
ACAA2	Astrocyte
ACSBG1	Astrocyte
ADD3	Astrocyte
ADHFE1	Astrocyte
AGL	Astrocyte
APPL2	Astrocyte
ATP1B2	Astrocyte
CD44	Astrocyte
CLDN10	Astrocyte
CROT	Astrocyte
DENND4C	Astrocyte
DTNA	Astrocyte
ELOVL5	Astrocyte
EVA1A	Astrocyte
EZR	Astrocyte
F3	Astrocyte
FJX1	Astrocyte
FMO1	Astrocyte
FXYD1	Astrocyte
GABRG1	Astrocyte
GLI2	Astrocyte
GLUD1	Astrocyte
GPAM	Astrocyte
