gene_id	cell_type
ADCY1	vGLUT_enriched
ANO6	vGLUT_enriched
FADS1	vGLUT_enriched
FADS2	vGLUT_enriched
ITPR1	vGLUT_enriched
KCNJ6	vGLUT_enriched
KCNK10	vGLUT_enriched
KCNT2	vGLUT_enriched
MARCH2	vGLUT_enriched
NRSN1	vGLUT_enriched
NTRK3	vGLUT_enriched
PKD1	vGLUT_enriched
RYR2	vGLUT_enriched
RYR3	vGLUT_enriched
SFXN5	vGLUT_enriched
TMEM164	vGLUT_enriched
TRPC6	vGLUT_enriched
AAGAB	vGLUT_enriched
ABHD8	vGLUT_enriched
ACAA2	vGLUT_enriched
ACSBG1	vGLUT_enriched
ADD2	vGLUT_enriched
AGO2	vGLUT_enriched
AHCYL1	vGLUT_enriched
AHCYL2	vGLUT_enriched
AIFM3	vGLUT_enriched
AIP	vGLUT_enriched
AK2	vGLUT_enriched
AK4	vGLUT_enriched
AKT1	vGLUT_enriched
AKT2	vGLUT_enriched
AKT3	vGLUT_enriched
ALDH1L1	vGLUT_enriched
ALDH7A1	vGLUT_enriched
ALDOC	vGLUT_enriched
ALKBH5	vGLUT_enriched
ANAPC1	vGLUT_enriched
ANKIB1	vGLUT_enriched
ANKRA2	vGLUT_enriched
ANXA5	vGLUT_enriched
AP1S1	vGLUT_enriched
ARF3	vGLUT_enriched
ARHGAP10	vGLUT_enriched
ARHGEF19	vGLUT_enriched
ARRB1	vGLUT_enriched
ASB1	vGLUT_enriched
ASRGL1	vGLUT_enriched
ATAD2B	vGLUT_enriched
ATXN1	vGLUT_enriched
AXIN2	vGLUT_enriched
BAALC	vGLUT_enriched
BBS9	vGLUT_enriched
BCKDHB	vGLUT_enriched
BOK	vGLUT_enriched
BRPF3	vGLUT_enriched
BSN	vGLUT_enriched
BTAF1	vGLUT_enriched
BTBD17	vGLUT_enriched
CABLES1	vGLUT_enriched
CAMSAP1	vGLUT_enriched
CBFA2T2	vGLUT_enriched
CBL	vGLUT_enriched
CCAR2	vGLUT_enriched
CCDC117	vGLUT_enriched
CCDC148	vGLUT_enriched
CCDC85B	vGLUT_enriched
CCNI	vGLUT_enriched
CDC42EP4	vGLUT_enriched
CDC42SE2	vGLUT_enriched
CDK8	vGLUT_enriched
CDYL	vGLUT_enriched
CEP112	vGLUT_enriched
CLIC1	vGLUT_enriched
COX6A1	vGLUT_enriched
CPLX3	vGLUT_enriched
CPSF6	vGLUT_enriched
CREBL2	vGLUT_enriched
CREBRF	vGLUT_enriched
CRLF3	vGLUT_enriched
CRY2	vGLUT_enriched
CSRP1	vGLUT_enriched
CTBP1	vGLUT_enriched
CTNNA2	vGLUT_enriched
CTNNB1	vGLUT_enriched
CTNNBIP1	vGLUT_enriched
DCAF7	vGLUT_enriched
DEAF1	vGLUT_enriched
DENND1B	vGLUT_enriched
DGKI	vGLUT_enriched
DLGAP2	vGLUT_enriched
DNAH9	vGLUT_enriched
DNMBP	vGLUT_enriched
DNMT3A	vGLUT_enriched
DOHH	vGLUT_enriched
DPCD	vGLUT_enriched
DPYD	vGLUT_enriched
DRAP1	vGLUT_enriched
DTNBP1	vGLUT_enriched
DVL1	vGLUT_enriched
DYM	vGLUT_enriched
EEF1A1	vGLUT_enriched
EEF1B2	vGLUT_enriched
EEF1G	vGLUT_enriched
EEF2	vGLUT_enriched
EFHD2	vGLUT_enriched
EGLN2	vGLUT_enriched
EHMT1	vGLUT_enriched
EIF3B	vGLUT_enriched
EIF3H	vGLUT_enriched
EIF3K	vGLUT_enriched
EIF4E3	vGLUT_enriched
EIF5A	vGLUT_enriched
ELF2	vGLUT_enriched
EML2	vGLUT_enriched
EP400	vGLUT_enriched
ETV4	vGLUT_enriched
FAF1	vGLUT_enriched
FAM131B	vGLUT_enriched
FAM53B	vGLUT_enriched
FAM53C	vGLUT_enriched
FARS2	vGLUT_enriched
FASN	vGLUT_enriched
FAU	vGLUT_enriched
FBXO16	vGLUT_enriched
FBXW4	vGLUT_enriched
FLNA	vGLUT_enriched
FMN1	vGLUT_enriched
FOCAD	vGLUT_enriched
FRS2	vGLUT_enriched
GARNL3	vGLUT_enriched
GAS2	vGLUT_enriched
GCSH	vGLUT_enriched
GFAP	vGLUT_enriched
GIGYF2	vGLUT_enriched
GLIS3	vGLUT_enriched
GLUD1	vGLUT_enriched
GLUL	vGLUT_enriched
GNA13	vGLUT_enriched
GNL1	vGLUT_enriched
GPATCH2L	vGLUT_enriched
